id,label,left_name,left_address,left_city,left_phone,left_category,left_class,right_name,right_address,right_city,right_phone,right_category,right_class
15,0,eclipse,8800 Melrose Avenue,Los Angeles,310-724-5959,californian,132,Mo Better Meatty Meat,7261 Melrose Avenue,Los Angeles,213-935-5280,hamburgers,579
16,0,Pacific Dining Car,6th St,Los Angeles,213-483-6000,american,153,Andre's French Restaurant,401 S 6th St,Las Vegas,702-385-5016,french (classic),656
17,1,Rainbow Room,30 Rockefeller Plaza,New York,212-632-5000,american,55,Rainbow Room,30 Rockefeller Plaza,New York City,212-632-5000,american (new),55
18,1,Cafe Claude,7 Claude Lane,San Francisco,415-392-3505,french,97,Cafe Claude,7 Claude Lane,San Francisco,415-392-3505,french bistro,97
19,0,Yolie's,3900 Paradise Road,Las Vegas,702-794-0700,steak houses,452,Nicky Blair's,3925 Paradise Road,Las Vegas,702-792-9900,italian,668
20,0,Heera of India,"595 Piedmont Ave, Rio Shopping Mall",Atlanta,404-876-4408,asian,83,Rose of India,308 E. Sixth St,New York City,212-533-5011,indian,638
21,0,l'osteria del forno,519 Columbus Avenue,San Francisco,415-982-1124,italian,490,campo santo,240 Columbus Avenue,San Francisco,415-433-9623,mexican,724
22,0,Bertolini's,3570 Las Vegas Boulevard South,Las Vegas,702-735-4663,italian,427,Moongate,3400 Las Vegas Boulevard South,Las Vegas,702-791-7352,chinese,666
23,0,maykadeh,470 Green Street,San Francisco,415-362-8286,greek and middle eastern,495,Greenwood's,1087 Green Street,Roswell,770-992-5383,southern/soul,693
24,0,dawat,210 E 58th St,New York,212-355-7555,asian,32,petrossian,182 W 58th St,New York City,212-245-2214,russian,52
25,0,the bacchanal,3570 Las Vegas Boulevard South,Las Vegas,702-731-7525,only in las vegas,449,steak house the,2880 Las Vegas Boulevard South,Las Vegas,702-734-0410,steakhouses,72
26,0,posto,14928 Ventura Boulevard,Sherman Oaks,818-784-4400,italian,156,Rubin's Red Hots,15322 Ventura Boulevard,Encino,818-905-6515,hot dogs,590
27,0,antonio's,3700 w flamingo rd,Las Vegas,702-252-7737,italian,423,buzio's in the rio,3700 w flamingo rd,Las Vegas,702-252-7697,seafood,658
28,0,Ruth's Chris,148 W 51st St,New York,212-245-9600,american,338,Le Bernardin,155 W 51st St,New York City,212-489-1515,seafood,41
29,0,Tommy Tang's,7313 Melrose Avenue,Los Angeles,213-937-5733,asian,167,patina,5955 Melrose Avenue,Los Angeles,213-467-1108,californian,16
30,0,Circus Circus,2880 Las Vegas Boulevard South,Las Vegas,702-734-0410,buffets,437,Sterling Brunch,3645 Las Vegas Boulevard South,Las Vegas,702-739-4651,eclectic,673
31,0,L Orangerie,903 North La Cienega Boulevard,Los Angeles,310-652-9770,french,11,Matsuhisa,129 North La Cienega Boulevard,Beverly Hills,310-659-9639,seafood,14
32,0,vong,200 e 54th st,New York,212-486-9592,american,373,Sparks Steak House,210 e 46th st,New York City,212-687-4855,steakhouses,641
33,0,Margarita's Mexican Cantina,3120 Las Vegas Boulevard South,Las Vegas,702-794-8200,mexican,444,Steak House The,2880 Las Vegas Boulevard South,Las Vegas,702-734-0410,steakhouses,72
34,0,dining room ritz-carlton buckhead,3434 Peachtree Road,Atlanta,404-237-2700,international,90,palm the ( atlanta ),3391 Peachtree Road NE,Atlanta,404-814-1955,steakhouses,709
35,0,Dante's Down the Hatch Buckhead,3380 Peachtree Rd,Atlanta,404-266-1600,continental,393,Abruzzi,2355 Peachtree Rd NE,Atlanta,404-261-8186,italian,74
36,0,helmand,430 Broadway,San Francisco,415-362-0641,greek and middle eastern,479,la caridad,2199 Broadway,New York City,212-874-2780,cuban,622
37,0,Ralph's Diner,3000 Las Vegas Boulevard South,Las Vegas,702-732-6330,coffee shops/diners,448,Tre Visi,3799 Las Vegas Boulevard South,Las Vegas,702-891-7331,italian,674
38,0,yoyo tsumami bistro,1611 Post Street,San Francisco,415-922-7788,french,530,postrio,545 Post Street,San Francisco,415-776-7825,californian,109
39,1,seryna,11 East 53rd Street,New York,212-980-9393,asian,59,seryna,11 East 53rd Street,New York City,212-980-9393,japanese,59
40,0,Luna Si,1931 Peachtree Road,Atlanta,404-355-5993,continental,405,Brookhaven Cafe,4274 Peachtree Road,Atlanta,404-231-5907,vegetarian,682
41,0,mikado,3400 Las Vegas Boulevard South,Las Vegas,702-791-7111,asian,446,Monte Carlo,3145 Las Vegas Boulevard South,Las Vegas,702-733-4524,french (new),665
42,0,bistro,3400 Las Vegas Boulevard South,Las Vegas,702-791-7111,continental,429,moongate,3400 Las Vegas Boulevard South,Las Vegas,702-791-7352,chinese,666
43,0,cafe fes,246 W 4th St At Charles St,New York,212-924-7653,mediterranean,205,cafe flore,2298 Market St,San Francisco,415-621-8579,californian,722
44,0,mikado,3400 Las Vegas Boulevard South,Las Vegas,702-791-7111,asian,446,Sterling Brunch,3645 Las Vegas Boulevard South,Las Vegas,702-739-4651,eclectic,673
45,0,Pinot Bistro,12969 Ventura Boulevard,Los Angeles,818-990-0500,french,18,Rubin's Red Hots,15322 Ventura Boulevard,Encino,818-905-6515,hot dogs,590
46,1,Masa's,648 Bush St,San Francisco,415-989-7154,french,106,Masa's,648 Bush St,San Francisco,415-989-7154,french (new),106
47,0,em press court,3570 Las Vegas Boulevard South,Las Vegas,702-731-7888,asian,438,Spago ( Las Vegas ),3500 Las Vegas Boulevard South,Las Vegas,702-369-6300,californian,670
48,1,Mesa Grill,102 5th Ave between 15th and 16th Sts,New York,212-807-7400,american,47,Mesa Grill,102 Fifth Avenue,New York City,212-807-7400,southwestern,47
49,0,Chin's,3200 Las Vegas Boulevard South,Las Vegas,702-733-8899,asian,67,Michael's (Las Vegas),3595 Las Vegas Boulevard South,Las Vegas,702-737-7111,continental,664
50,0,patina,5955 Melrose Avenue,Los Angeles,213-467-1108,californian,16,mo better meatty meat,7261 Melrose Avenue,Los Angeles,213-935-5280,hamburgers,579
51,0,triangolo,345 East 83rd Street,New York,212-472-4488,italian,363,Cafe Lalo,201 West 83rd Street,New York City,212-496-6031,coffeehouses,26
52,0,Gilliland's,2424 Main Street,Santa Monica,310-392-3901,american,135,Chinois on Main,2709 Main Street,Santa Monica,310-392-9025,pacific new wave,5
53,1,Nikolai's Roof,255 Courtland St at Harris St,Atlanta,404-221-6362,continental,87,Nikolai's Roof,255 Courtland St,Atlanta,404-221-6362,continental,87
54,0,dawat,210 East 58th Street,New York,212-355-7555,asian,32,Sparks Steak House,210 East 46th Street,New York City,212-687-4855,steakhouses,641
55,1,le bernardin,155 W 51st St,New York,212-489-1515,french,41,le bernardin,155 W 51st St,New York City,212-489-1515,seafood,41
56,0,faz,161 Sutter St,San Francisco,415-362-0404,greek and middle eastern,469,Fleur de lys,777 Sutter St,San Francisco,415-673-7779,french (new),100
57,0,veni vidi vici,41 14th Street,Atlanta,404-875-8424,italian,93,bobby & june's kountry kitchen,375 14th Street,Atlanta,404-876-3872,southern/soul,680
58,0,mikado,3400 Las Vegas Boulevard South,Las Vegas,702-791-7111,asian,446,Spago (Las Vegas),3500 Las Vegas Boulevard South,Las Vegas,702-369-6300,californian,670
59,0,cite,120 W 51st St,New York,212-956-7100,french,220,Le Bernardin,155 W 51st St,New York City,212-489-1515,seafood,41
60,1,Oceana,55 E 54th St,New York,212-759-5941,seafood,50,Oceana,55 E 54th St,New York City,212-759-5941,seafood,50
61,0,Toulouse,1745 Peachtree Street NW,Atlanta,404-351-9533,french,92,Original Pancake House,4330 Peachtree Road NW,Atlanta,404-237-4116,american,708
62,0,Cafe Roma,3570 Las Vegas Boulevard South,Las Vegas,702-731-7547,coffee shops/diners,433,Steak House The,2880 Las Vegas Boulevard South,Las Vegas,702-734-0410,steakhouses,72
63,0,manora,3226 Mission Street,San Francisco,415-861-6224,asian,494,boulevard,1 Mission Street,San Francisco,415-543-6084,american (new),96
64,0,Canter's,419 North Fairfax Avenue,Los Angeles,213-651-2030,american,122,Carey's,1021 Cobb Parkway SE,Marietta,770-422-8042,hamburgers,685
65,0,Hong Kong Villa,2332 Clement Street,San Francisco,415-752-8833,asian,481,Alain Rondelli,126 Clement Street,San Francisco,415-387-0408,french (new),94
66,0,mikado,3400 Las Vegas Boulevard South,Las Vegas,702-791-7111,asian,446,Coyote Cafe,3799 Las Vegas Boulevard South,Las Vegas,702-891-7349,southwestern,68
67,0,Bertolini's,3570 Las Vegas Boulevard South,Las Vegas,702-735-4663,italian,427,Sterling Brunch,3645 Las Vegas Boulevard South,Las Vegas,702-739-4651,eclectic,673
68,0,helmand,430 Broadway,San Francisco,415-362-0641,greek and middle eastern,479,gray's papaya,2090 Broadway,New York City,212-799-0243,hot dogs,614
69,0,Cafe Roma,3570 Las Vegas Boulevard South,Las Vegas,702-731-7547,coffee shops/diners,433,Moongate,3400 Las Vegas Boulevard South,Las Vegas,702-791-7352,chinese,666
70,0,Jack's,615 Sacramento Street,San Francisco,415-986-9854,old san francisco,485,Joe's,1023 Abbot Kinney Boulevard,Venice,310-399-5811,american (new),560
71,0,Dining Room Ritz-Carlton Buckhead,3434 Peachtree Road,Atlanta,404-237-2700,international,90,Original Pancake House,4330 Peachtree Road,Atlanta,404-237-4116,american,708
72,0,Lutece,249 East 50th Street,New York,212-752-2225,french,44,Lespinasse,2 East 55th Street,New York City,212-339-6719,asian,43
73,0,em press court,3570 Las Vegas Boulevard South,Las Vegas,702-731-7888,asian,438,madame ching's,3300 Las Vegas Boulevard South,Las Vegas,702-894-7111,asian,662
74,0,Mary Mac's Tea Room,224 Ponce de Leon Avenue,Atlanta,404-876-1800,southern,86,Tortillas,774 Ponce de Leon Avenue NE,Atlanta,404-892-0193,tex-mex,716
75,0,valentino,3115 Pico Boulevard,Santa Monica,310-829-4313,italian,21,Rae's,2901 Pico Boulevard,Santa Monica,310-828-7937,diners,589
76,0,Lulu,816 Folsom Street,San Francisco,415-495-5775,mediterranean,105,Hamburger Mary's,1582 Folsom Street,San Francisco,415-626-1985,hamburgers,732
77,0,tomtom,3393 Peachtree Road,Atlanta,404-264-1163,continental,422,White House Restaurant,3172 Peachtree Road NE,Atlanta,404-237-7601,diners,719
78,0,Broadway Deli,3rd St. Promenade,Santa Monica,310-451-0616,american,117,Benita's Frites,1433 Third St. Promenade,Santa Monica,310-458-2889,fast food,538
79,0,bistro,3400 Las Vegas Boulevard South,Las Vegas,702-791-7111,continental,429,Em Eril's New Orleans Fish House,3799 Las Vegas Boulevard South,Las Vegas,702-891-7374,seafood,659
80,0,pano's and paul's,1232 W Paces Ferry Rd,Atlanta,404-261-3662,international,88,canoe,4199 Paces Ferry Rd,Atlanta,770-432-2663,american (new),684
81,0,tomtom,3393 Peachtree Road,Atlanta,404-264-1163,continental,422,Ritz-Carlton Dining Room (Buckhead),3434 Peachtree Road NE,Atlanta,404-237-2700,american (new),90
82,0,vong,200 East 54th Street,New York,212-486-9592,american,373,Second Street Grill,200 East Fremont Street,Las Vegas,702-385-6277,pacific rim,71
83,0,Hedgerose Heights Inn,490 East Paces Ferry Road,Atlanta,404-233-7673,international,82,Pano's & Paul's,1232 West Paces Ferry Road,Atlanta,404-261-3662,american (new),88
84,0,Ritz-Carlton Restaurant and Dining Room,600 Stockton Street,San Francisco,415-296-7465,american,110,Ritz-Carlton Restaurant,181 Peachtree St,Atlanta,404-659-0400,french (classic),91
85,0,Cafe Roma,3570 Las Vegas Boulevard South,Las Vegas,702-731-7547,coffee shops/diners,433,Morton's of Chicago,3200 Las Vegas Boulevard South,Las Vegas,702-893-0703,steakhouses,667
86,0,fleur de jour,348 East 62nd Street,New York City,212-355-2020,coffee bar,245,fleur de lys,777 Sutter Street,San Francisco,415-673-7779,french (new),100
87,0,dix et sept,181 W 10th St,New York,212-645-8023,french,228,petrossian,182 W 58th St,New York City,212-245-2214,russian,52
88,0,Jimmy's,201 Moreno Dr,Los Angeles,310-552-2394,continental,142,Tommy's,2575 Beverly Blvd,Los Angeles,213-389-9060,hamburgers,598
89,0,petrossian,182 W 58th St,New York,212-245-2214,french,52,Les Celebrites,155 W 58th St,New York City,212-484-5113,french (classic),42
90,0,aqua,252 California Street,San Francisco,415-956-9662,seafood,95,Emperor Garden Restaurant,1550 California Street,San Francisco,415-673-1155,vietnamese,730
91,0,eclipse,8800 Melrose Avenue,Los Angeles,310-724-5959,californian,132,Sweet Lady Jane,8360 Melrose Avenue,Los Angeles,213-653-7145,desserts,596
92,0,Dining Room Ritz-Carlton Buckhead,3434 Peachtree Road,Atlanta,404-237-2700,international,90,La Grotta,2637 Peachtree Road NE,Atlanta,404-231-1368,italian,85
93,0,Victor's Cafe,52 236 West 52nd Street,New York,212-586-7714,latin american,371,21 Club,21 West 52nd Street,New York City,212-582-7200,american (new),23
94,0,steak house,2880 Las Vegas Boulevard South,Las Vegas,702-734-0410,steak houses,72,Spago ( Las Vegas ),3500 Las Vegas Boulevard South,Las Vegas,702-369-6300,californian,670
95,1,valentino,3115 Pico Boulevard,Santa Monica,310-829-4313,italian,21,valentino,3115 Pico Boulevard,Santa Monica,310-829-4313,italian,21
96,0,Sarabeth's Kitchen,423 Amsterdam Avenue Between 80th and 81st Sts.,New York,212-496-6280,american,344,Sarabeth's,1295 Madison Avenue,New York City,212-410-7335,american,640
97,1,River Cafe,1 Water Street at the East River,Brooklyn,718-522-5200,american,56,River Cafe,1 Water Street,Brooklyn,718-522-5200,american (new),56
98,1,la grotta,2637 Peachtree Road NE,Atlanta,404-231-1368,italian,85,la grotta,2637 Peachtree Road NE,Atlanta,404-231-1368,italian,85
99,0,Bistro,3400 Las Vegas Boulevard South,Las Vegas,702-791-7111,continental,429,Steak House The,2880 Las Vegas Boulevard South,Las Vegas,702-734-0410,steakhouses,72
100,0,Ralph's Diner,3000 Las Vegas Boulevard South,Las Vegas,702-732-6330,coffee shops/diners,448,Spago (Las Vegas),3500 Las Vegas Boulevard South,Las Vegas,702-369-6300,californian,670
101,0,em press court,3570 Las Vegas Boulevard South,Las Vegas,702-731-7888,asian,438,steak house the,2880 Las Vegas Boulevard South,Las Vegas,702-734-0410,steakhouses,72
102,0,Cafe Bizou,14016 Ventura Boulevard,Sherman Oaks,818-788-3536,french,3,Art's Deli,12224 Ventura Boulevard,Studio City,818-762-1221,delis,1
103,1,Union Square Cafe,21 E 16th St,New York,212-243-4020,american,65,Union Square Cafe,21 E 16th St,New York City,212-243-4020,american (new),65
104,0,Taste of New Orleans,889 West Peachtree Street,Atlanta,404-874-5535,southern,421,Ritz-Carlton Restaurant,181 Peachtree Street,Atlanta,404-659-0400,french (classic),91
105,0,Taste of New Orleans,889 West Peachtree Street,Atlanta,404-874-5535,southern,421,Alon's at the Terrace,659 Peachtree Street,Atlanta,404-724-0444,sandwiches,676
106,0,mikado,3400 Las Vegas Boulevard South,Las Vegas,702-791-7111,asian,446,Morton's of Chicago,3200 Las Vegas Boulevard South,Las Vegas,702-893-0703,steakhouses,667
107,0,chin's,3200 Las Vegas Boulevard South,Las Vegas,702-733-8899,asian,67,Coyote Cafe,3799 Las Vegas Boulevard South,Las Vegas,702-891-7349,southwestern,68
108,0,L Orangerie,903 N La Cienega Boulevard,Los Angeles,310-652-9770,french,11,Arnie Morton's Of Chicago,435 S La Cienega Boulevard,Los Angeles,310-246-1501,steakhouses,0
109,0,Coyote Cafe,3799 Las Vegas Boulevard South,Las Vegas,702-891-7349,southwestern,68,Steak House The,2880 Las Vegas Boulevard South,Las Vegas,702-734-0410,steakhouses,72
110,0,Bally's Big Kitchen,3645 Las Vegas Boulevard South,Las Vegas,702-739-4111,buffets,424,Sterling Brunch,3645 Las Vegas Boulevard South,Las Vegas,702-739-4651,eclectic,673
111,0,em press court,3570 Las Vegas Boulevard South,Las Vegas,702-731-7888,asian,438,michael's,3595 Las Vegas Boulevard South,Las Vegas,702-737-7111,continental,664
112,0,posto,14928 Ventura Boulevard,Sherman Oaks,818-784-4400,italian,156,Cafe Bizou,14016 Ventura Boulevard,Sherman Oaks,818-788-3536,french bistro,3
113,0,Island Spice,402 W 44th St,New York,212-765-1737,tel caribbean,37,Virgil's Real BBQ,152 W 44th St,New York City,212-921-9494,bbq,66
114,0,Beesley's of Buckhead,260 E Paces Ferry Road,Atlanta,404-264-1334,continental,384,Riviera,519 E Paces Ferry Rd,Atlanta,404-262-7112,mediterranean,712
115,0,petrossian,182 W 58th St,New York,212-245-2214,french,52,march,405 E 58th St,New York City,212-754-6272,american (new),46
116,0,march,405 E 58th St,New York,212-754-6272,american,46,Wollensky's Grill,205 E 49th St,New York City,212-753-0444,steakhouses,653
117,0,tomtom,3393 Peachtree Road,Atlanta,404-264-1163,continental,422,"Palm, The (Atlanta)",3391 Peachtree Road NE,Atlanta,404-814-1955,steakhouses,709
118,0,Joss,9255 Sunset Boulevard,Los Angeles,310-276-1886,asian,143,Duke's,8909 Sunset Boulevard,West Hollywood,310-652-3100,coffee shops,551
119,0,Bistro,3400 Las Vegas Boulevard South,Las Vegas,702-791-7111,continental,429,Buccaneer Bay Club,3300 Las Vegas Boulevard South,Las Vegas,702-894-7350,continental,657
120,0,Rose Pistola,532 Columbus Avenue,San Francisco,415-399-0499,italian,111,Caffe Greco,423 Columbus Avenue,San Francisco,415-397-6261,continental,723
121,0,patina,5955 Melrose Avenue,Los Angeles,213-467-1108,californian,16,Le Chardonnay,8284 Melrose Avenue,Los Angeles,213-655-8880,french bistro,12
122,0,Bertolini's,3570 Las Vegas Boulevard South,Las Vegas,702-735-4663,italian,427,Michael's (Las Vegas),3595 Las Vegas Boulevard South,Las Vegas,702-737-7111,continental,664
123,0,Tang Pavillion,65 W 55th St,New York,212-956-6888,asian,356,La Cote Basque,60 W 55th St,New York City,212-688-6525,french (classic),40
124,0,Coyote Cafe,3799 Las Vegas Boulevard South,Las Vegas,702-891-7349,southwestern,68,Chin's,3200 Las Vegas Boulevard South,Las Vegas,702-733-8899,chinese,67
125,0,Dante's Down the Hatch Buckhead,3380 Peachtree Road,Atlanta,404-266-1600,continental,393,Brookhaven Cafe,4274 Peachtree Road,Atlanta,404-231-5907,vegetarian,682
126,0,Water Club,500 East 30th Street,New York,212-683-3333,american,374,Lutece,249 East 50th Street,New York City,212-752-2225,french (classic),44
127,0,Cafe Roma,3570 Las Vegas Boulevard South,Las Vegas,702-731-7547,coffee shops/diners,433,Madame Ching's,3300 Las Vegas Boulevard South,Las Vegas,702-894-7111,asian,662
128,0,Bone's,3130 Piedmont Road,Atlanta,404-237-2663,american,76,Soto,3330 Piedmont Road,Atlanta,404-233-2005,japanese,714
129,0,l absinthe,227 E 67th St,New York,212-794-4950,french,277,Cafe des artistes,1 W 67th St,New York City,212-877-3500,french (classic),27
130,0,Luna Si,1931 Peachtree Rd.,Atlanta,404-355-5993,continental,405,White House Restaurant,3172 Peachtree Rd. NE,Atlanta,404-237-7601,diners,719
131,0,bruno,240 E 58th St,New York,212-688-4190,italian,195,march,405 E 58th St,New York City,212-754-6272,american (new),46
132,0,Carnival World,3700 West Flamingo Road,Las Vegas,702-252-7777,buffets,435,Tillerman The,2245 East Flamingo Road,Las Vegas,702-731-4036,steakhouses,73
133,0,Cafe Bianco,1486 2nd Ave between 77th and 78th Sts,New York,212-988-2655,coffee bar,199,Cafe Blanc,9777 Little Santa Monica Blvd,Beverly Hills,310-888-0108,pacific new wave,546
134,0,Palace Court,3570 Las Vegas Boulevard South,Las Vegas,702-731-7547,continental,70,Moongate,3400 Las Vegas Boulevard South,Las Vegas,702-791-7352,chinese,666
135,0,Dante's Down the Hatch Buckhead,3380 Peachtree Rd,Atlanta,404-266-1600,continental,393,Ritz-Carlton Dining Room (Buckhead),3434 Peachtree Rd NE,Atlanta,404-237-2700,american (new),90
136,0,Bugsy's Diner,3555 Las Vegas Boulevard South,Las Vegas,702-733-3111,coffee shops/diners,431,Em Eril's New Orleans Fish House,3799 Las Vegas Boulevard South,Las Vegas,702-891-7374,seafood,659
137,0,bolo,23 E 22nd St,New York,212-228-2200,mediterranean,191,La Grenouille,3 E 52nd St,New York City,212-752-1495,french (classic),623
138,0,Cafe Roma,3570 Las Vegas Boulevard South,Las Vegas,702-731-7547,coffee shops/diners,433,Palace Court,3570 Las Vegas Boulevard South,Las Vegas,702-731-7110,french (new),70
139,0,felidia,243 East 58th Street,New York,212-758-1479,italian,33,march,405 East 58th Street,New York City,212-754-6272,american (new),46
140,0,tomtom,3393 Peachtree Road,Atlanta,404-264-1163,continental,422,toulouse,293 Peachtree Road,Atlanta,404-351-9533,french (new),92
141,0,Hard Rock Cafe,221 W 57th St,New York,212-489-6565,american,261,Edison Cafe,228 W 47th St,New York City,212-840-5000,diners,611
142,1,dining room ritz-carlton buckhead,3434 Peachtree Rd,Atlanta,404-237-2700,international,90,ritz-carlton dining room buckhead,3434 Peachtree Rd NE,Atlanta,404-237-2700,american (new),90
143,1,Smith & Wollensky,201 East 49th Street,New York,212-753-1530,american,62,Smith & Wollensky,797 Third Avenue,New York City,212-753-1530,steakhouses,62
144,0,Matthew's,1030 3rd Ave at 61st St,New York,212-838-4343,american,305,Masa's,648 Bush St,San Francisco,415-989-7154,french (new),106
145,0,Border Grill,4th St,Los Angeles,310-451-1655,mexican,116,Roosevelt Tamale Parlor,2817 24th St,San Francisco,415-550-9213,mexican,742
146,0,Cafe Ritz-Carlton Buckhead,3434 Peachtree Road NE,Atlanta,404-237-2700,ext 6108 international,89,La Grotta,2637 Peachtree Road NE,Atlanta,404-231-1368,italian,85
147,0,Vivande Porta Via,2125 Fillmore Street,San Francisco,415-346-4430,italian,524,Plumpjack Cafe,3127 Fillmore Street,San Francisco,415-563-4755,american (new),108
148,1,pisces,95 Avenue A at 6th St,New York,212-260-6660,seafood,54,pisces,95 Avenue A,New York City,212-260-6660,seafood,54
149,0,Le Chardonnay,8284 Melrose Avenue,Los Angeles,213-655-8880,french,12,citrus,6703 Melrose Avenue,Los Angeles,213-857-0034,californian,6
150,0,bruno,240 e 58th st,New York,212-688-4190,italian,195,lutece,249 e 50th st,New York City,212-752-2225,french (classic),44
151,0,March,405 East 58th Street,New York,212-754-6272,american,46,Shun Lee Palace,155 East 55th Street,New York City,212-371-8844,chinese,60
152,0,Toulouse,1745 Peachtree Street,Atlanta,404-351-9533,french,92,Abruzzi,2355 Peachtree Road NE,Atlanta,404-261-8186,italian,74
153,0,Yolie's,3900 Paradise Road,Las Vegas,702-794-0700,steak houses,452,Le Montrachet Bistro,3000 Paradise Road,Las Vegas,702-732-5651,french bistro,69
154,0,Chin's,3200 Las Vegas Boulevard South,Las Vegas,702-733-8899,asian,67,Madame Ching's,3300 Las Vegas Boulevard South,Las Vegas,702-894-7111,asian,662
155,1,granita,23725 West Malibu Road,Malibu,310-456-0488,californian,8,granita,23725 West Malibu Road,Malibu,310-456-0488,californian,8
156,1,L' Orangerie,903 N La Cienega Blvd,Los Angeles,310-652-9770,french,11,L' Orangerie,903 N La Cienega Blvd,West Hollywood,310-652-9770,french (classic),11
157,1,Georgia Grille,2290 Peachtree Road Suite Peachtree Square Shopping Center,Atlanta,404-352-3517,american,81,Georgia Grille,2290 Peachtree Road,Atlanta,404-352-3517,southwestern,81
158,0,Camille's,1186 North Highland Avenue,Atlanta,404-872-7203,italian,388,Uncle Bill's Pancake House,1305 Highland Avenue,Manhattan Beach,310-545-5177,diners,599
159,0,Antonio's,3700 West Flamingo Road,Las Vegas,702-252-7737,italian,423,Fiore Rotisserie & Grille,3700 West Flamingo Road,Las Vegas,702-252-7702,italian,660
160,0,bistango,1100 Peachtree Street,Atlanta,404-724-0901,mediterranean,386,Ritz-Carlton Restaurant,181 Peachtree Street,Atlanta,404-659-0400,french (classic),91
161,0,Cafe Roma,3570 Las Vegas Boulevard South,Las Vegas,702-731-7547,coffee shops/diners,433,Chin's,3200 Las Vegas Boulevard South,Las Vegas,702-733-8899,chinese,67
162,0,Ralph's Diner,3000 Las Vegas Boulevard South,Las Vegas,702-732-6330,coffee shops/diners,448,Michael's (Las Vegas),3595 Las Vegas Boulevard South,Las Vegas,702-737-7111,continental,664
163,0,helmand,430 Broadway,San Francisco,415-362-0641,greek and middle eastern,479,Carmine's,2450 Broadway,New York City,212-362-2200,italian,28
164,0,mikado,3400 Las Vegas Boulevard South,Las Vegas,702-791-7111,asian,446,Michael's,3595 Las Vegas Boulevard South,Las Vegas,702-737-7111,continental,664
165,1,lulu,816 Folsom Street,San Francisco,415-495-5775,mediterranean,105,lulu restaurant-bis-cafe,816 Folsom Street,San Francisco,415-495-5775,mediterranean,105
166,0,the bacchanal,3570 Las Vegas Boulevard South,Las Vegas,702-731-7525,only in las vegas,449,buccaneer bay club,3300 Las Vegas Boulevard South,Las Vegas,702-894-7350,continental,657
167,0,Le Marais,150 W 46th St,New York,212-869-0900,american,290,Virgil's Real BBQ,152 W 44th St,New York City,212-921-9494,bbq,66
168,0,Le Chantilly,106 E 57th St,New York,212-751-2931,french,285,yama,122 E 17th St,New York City,212-475-0969,japanese,654
169,0,Pano's and Paul's,1232 W Paces Ferry Road,Atlanta,404-261-3662,international,88,103 West,103 W Paces Ferry Road,Atlanta,404-233-5993,continental,675
170,0,Ralph's Diner,3000 Las Vegas Boulevard South,Las Vegas,702-732-6330,coffee shops/diners,448,Sterling Brunch,3645 Las Vegas Boulevard South,Las Vegas,702-739-4651,eclectic,673
171,0,Tadich Grill,240 California Street,San Francisco,415-391-2373,seafood,519,Aqua,252 California Street,San Francisco,415-956-9662,american (new),95
