id,label,left_name,left_addr,left_city,left_phone,left_category,left_class,right_name,right_addr,right_city,right_phone,right_category,right_class
64,0,Canter's,419 N. Fairfax Ave.,Los Angeles,+1-213-651-2030,american,122.0,Marie Carey's,1021 Cobb Parkway Southeast,Marietta,+1-770-422-8042,Hamburger,685
65,0,Hong Kong Villa,2332 Clement St.,San Francisco,+141575288333,Asian,481.0,Alain Rondelli,126 Clement St.,San Francisco,+14153870408,French,94
66,0,Mikado,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7111,Asian,446.0,Coyote Cafe,3799 Las Vegas Boulevard South,Las Vegas,+1-702-891-7349,Southwestern,68
67,0,Bertolini's,3570 Las Vegas Boulevard South,Las Vegas,+1-702-735-4663,Italian,427.0,Sterling Brunch,3645 Las Vegas Blvd. S.,Las Vegas,+1-702-739-4651,eclectic,673
68,0,Helmand,430 Broadway,San Francisco,+14153620641,Greek and Middle Eastern,479.0,Gray's Papaya,2090 Broadway,New York City,+1-212-799-0243,Hot Dogs,614
69,0,Cafe Roma,3570 Las Vegas Boulevard South,Las Vegas,+1-702-731-7547,Coffee Shop,433.0,Moongate,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7352,Chinese,666
70,0,Jack's,615 Sacramento St.,San Francisco,+1-415-986-9854,Old San Francisco,485.0,Joe's,1023 Abbot Kinney Blvd.,Venice,+1-310-399-5811,American,560
71,0,Dining Room Ritz-Carlton Buckhead,3434 Peachtree Rd.,Atlanta,+1-404-237-2700,International,90.0,Original Pancake House at,4330 Peachtree Rd.,Atlanta,+1-404-237-4116,American,708
72,0,Lutece,249 E. 50th St.,New York,+1-212-752-2225,French,44.0,Le Spinasse (New York),2 E. 55th St.,New York,+1-212-339-6719,Asian,43
73,0,Em Press Court,3570 Las Vegas Boulevard South,Las Vegas,+1-702-731-7888,Asian,438.0,Madame Ching's,3300 Las Vegas Boulevard South,Las Vegas,+1-702-894-7111,Asian,662
74,0,Mary Mac's Tea Room,224 Ponce De Leon Ave.,Atlanta,+1-404-876-1800,Southern,86.0,tortillas,774 Ponce De Leon Ave NE,Atlanta,+1-404-892-0193,tex-mex,716
75,0,Valentino,3115 Pico Boulevard,Santa Monica,+1-310-829-4313,Italian,21.0,Rae's,2901 Pico Boulevard,Santa Monica,+1-310-828-7937,Diner,589
76,0,Lulu,816 Folsom St.,San Francisco,+1-415-495-5775,Mediterranean,105.0,Hamburger Mary's,1582 Folsom St.,San Francisco,+1-415-626-1985,hamburgers,732
77,0,TomTom,3393 Peachtree Rd.,Atlanta,+1-404-264-1163,Continental,422.0,White House Restaurant,3172 Peachtree Rd. NE,Atlanta,+1-404-237-7601,Diner,719
78,0,Broadway Deli,3rd St Promenade,Santa Monica,+1-310-451-0616,american,117.0,Benita's Frites,1433 Third St Promenade,Santa Monica,+1-310-458-2889,Fast Food,538
79,0,Bistro,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7111,Continental,429.0,'em eril's New Orleans Fish House,3799 Las Vegas Boulevard South,Las Vegas,+1-702-891-7374,Seafood,659
80,0,Panos and Paul's,1232 W. Paces Ferry Rd.,Atlanta,+1-404-261-3662,International,88.0,Canoe,4199 Paces Ferry Rd.,Atlanta,+1-770-432-2663,American (New),684
81,0,TomTom,3393 Peachtree Rd.,Atlanta,+1-404-264-1163,Continental,422.0,Ritz-Carlton Dining Room (Buckhead),3434 Peachtree Rd. NE,Atlanta,+1-404-237-2700,American,90
82,0,Vong,200 E. 54th St.,New York,+1-212-486-9592,American,373.0,Second Street Grill,200 E. Fremont St.,Las Vegas,+1-702-385-6277,Pacific Rim,71
83,0,Hedgerose Heights Inn,490 E. Paces Ferry Rd.,Atlanta,+1-404-233-7673,International,82.0,Pano's & Paul's,1232 W. Paces Ferry Rd.,Atlanta,+1-404-261-3662,American (New),88
84,0,Ritz-Carlton Restaurant and Dining Room,600 Stockton St.,San Francisco,+1-415-296-7465,american,110.0,Ritz-Carlton Restaurant,181 Peachtree St.,Atlanta,+1-404-659-0400,French (Classic),91
85,0,Cafe Roma,3570 Las Vegas Boulevard South,Las Vegas,+1-702-731-7547,Coffee Shop,433.0,Morton's of Chicago,3200 Las Vegas Boulevard South,Las Vegas,+1-702-893-0703,Steakhouses,667
86,0,Fleur de Jour,348 E. 62nd St.,New York,+1-212-355-2020,Coffee Bar,245.0,Fleur de Lys,777 Sutter St.,San Francisco,+14156737779,French,100
87,0,Dix Et Sept',181 W. 10th St.,New York,+1-212-645-8023,french,228.0,Petrossian,182 W. 58th St.,New York City,+1-212-245-2214,Russian,52
88,0,Jimmy's,201 Moreno Dr.,Los Angeles,+1-310-552-2394,Continental,142.0,Tommy's,2575 Beverly Boulevard,Los Angeles,+1-213-389-9060,Hamburgers,598
89,0,Petrossian,182 W. 58th St.,New York,+1-212-245-2214,French,52.0,Les Celebrites,155 W. 58th St.,New York City,+1-212-484-5113,French (Classic),42
90,0,Aqua,252 California St.,San Francisco,+1-415-956-9662,seafood,95.0,Emerald Garden Restaurant,1550 California St.,San Francisco,+1-415-673-1155,Vietnamese,730
91,0,Eclipse,8800 Melrose Ave.,Los Angeles,+1-310-724-5959,Californian,132.0,Sweet Lady Jane,8360 Melrose Ave.,Los Angeles,+1-213-653-7145,Desserts,596
92,0,Dining Room Ritz-Carlton Buckhead,3434 Peachtree Rd.,Atlanta,+1-404-237-2700,International,90.0,La Grotta,2637 Peachtree Rd. NE,Atlanta,+1-404-231-1368,Italian,85
93,0,Victor's Cafe,52 W 52nd St,New York,+1-212-586-7714,Latin American,371.0,21 Club,21 W. 52nd St.,New York City,+1-212-582-7200,American (New),23
94,0,Steak House,2880 Las Vegas Boulevard South,Las Vegas,+1-702-734-0410,Steak Houses,72.0,Spago (Las Vegas),3500 Las Vegas Boulevard South,Las Vegas,+1-702-369-6300,californian,670
95,1,Valentino,3115 Pico Boulevard ,Santa Monica ,+1-310-829-4313,italian,21.0,Valentino,3115 Pico Boulevard,Santa Monica,+1-310-829-4313,Italian,21
96,0,Saraheth's Kitchen,423 Amsterdam Ave. Between 80th and 81st Sts.,New York,+1-212-496-6280,american,344.0,Sarabeth's,1295 Madison Ave.,New York City,+1-212-410-7335,American,640
97,1,River Cafe,1 Water St. at the East River,Brooklyn,+1-718-522-5200,American,56.0,River Cafe,1 Water St.,Brooklyn,+1-718-522-5200,American (New),56
98,1,La Grotta,2637 Peachtree Rd. Peachtree House Condominium,Atlanta,+1-404-231-1368,Italian,85.0,La Grotta,2637 Peachtree Rd NE,Atlanta,+1-404-231-1368,Italian,85
99,0,Bistro,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7111,Continental,429.0,Steak House The,2880 Las Vegas Blvd. S.,Las Vegas,+1-702-734-0410,Steakhouses,72
100,0,Ralph's Diner,3000 Las Vegas Boulevard South,Las Vegas,+1-702-732-6330,Coffee Shop,448.0,Spago (Las Vegas),3500 Las Vegas Blvd. S.,Las Vegas,+1-702-369-6300,californian,670
101,0,Em Press Court,3570 Las Vegas Blvd. S,Las Vegas,+1-702-731-7888,Asian,438.0,The Steak House,2880 Las Vegas Boulevard South,Las Vegas,+1-702-734-0410,Steakhouses,72
102,0,Cafe Bizou,14016 Ventura Blvd.,Sherman Oaks,+1-818-788-3536,French,3.0,Art's Deli,12224 Ventura Boulevard,Studio City,+1-818-762-1221,delis,1
103,1,Union Square Cafe,21 E. 16th St.,New York,+1-212-243-4020,american,65.0,Union Square Cafe,21 E. 16th St.,New York,+1-212-243-4020,American,65
104,0,A Taste of New Orleans,889 W. Peachtree St.,Atlanta,+1-404-874-5535,Southern,421.0,Ritz-Carlton Restaurant,181 Peachtree St.,Atlanta,+1-404-659-0400,French (Classic),91
105,0,A Taste of New Orleans,889 W. Peachtree St.,Atlanta,+1-404-874-5535,Southern,421.0,Alon's at the Terrace,659 Peachtree St.,Atlanta,+1-404-724-0444,sandwiches,676
106,0,Mikado,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7111,Asian,446.0,Morton's of Chicago (Las Vegas),3200 Las Vegas Boulevard South,Las Vegas,+1-702-893-0703,Steakhouses,667
107,0,Chin's,3200 Las Vegas Boulevard South,Las Vegas,+1-702-733-8899,Asian,67.0,Coyote Cafe,3799 Las Vegas Boulevard South,Las Vegas,+1-702-891-7349,Southwestern,68
108,0,Orangerie,903 N. La Cienega Blvd.,Los Angeles,+1-310-652-9770,French,11.0,Arnie Morton's of Chicago,435 S. La Cienega Blvd.,Los Angeles,+1-310-246-1501,Steakhouses,0
109,0,Coyote Cafe,3799 Las Vegas Boulevard South,Las Vegas,+1-702-891-7349,Southwestern,68.0,The Steak House,2880 Las Vegas Boulevard South,Las Vegas,+1-702-734-0410,Steakhouses,72
110,0,Bally's Big Kitchen,3645 Las Vegas Boulevard South,Las Vegas,+1-702-739-4111,Buffet,424.0,Sterling Brunch,3645 Las Vegas Boulevard South,Las Vegas,+1-702-739-4651,eclectic,673
111,0,Em Press Court,3570 Las Vegas Boulevard South,Las Vegas,+1-702-731-7888,Asian,438.0,Michael's (Las Vegas),3595 Las Vegas Boulevard S,Las Vegas,+1-702-737-7111,Continental,664
112,0,Posto,14928 Ventura Boulevard,Sherman Oaks,+1-818-784-4400,Italian,156.0,Cafe Bizou,14016 Ventura Boulevard,Sherman Oaks,+1-818-788-3536,French Bistro,3
113,0,Island Spice,402 W. Boulevard,New York,+1-212-765-1737,Tel Caribbean,37.0,Virgil's Real BBQ,152 W. 44th St.,New York City,+1-212-921-9494,BBQ,66
114,0,Beesley's of Buckhead,260 E. Paces Ferry Road,Atlanta,+1-404-264-1334,Continental,384.0,Riviera,519 E. Paces Ferry Rd.,Atlanta,+1-404-262-7112,Mediterranean,712
115,0,Petrossian,182 W. Boulevard Street.,New York,+1-212-245-2214,French,52.0,March,405 E. 58th St.,New York City,+1-212-754-6272,American (New),46
116,0,March,405 E. Boulevard Street,New York City,+1-212-754-6272,American,46.0,Wollensky's Grill,205 E. 49th St.,New York City,+1-212-753-0444,Steakhouses,653
117,0,Tommot,3393 Peachtree Rd.,Atlanta,+1-404-264-1163,continental,422.0,Palm The,3391 Peachtree Rd NE,Atlanta,+1-404-814-1955,Steakhouses,709
118,0,Joss,9255 Sunset Boulevard,Los Angeles,+1-310-276-1886,asian,143.0,Duke's,8909 Sunset Boulevard,W. Hollywood,+1-310-652-3100,Coffee Shop,551
119,0,Bistro,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7111,Continental,429.0,Buccaneer Bay Club,3300 Las Vegas Boulevard South,Las Vegas,+1-702-894-7350,Continental,657
120,0,Rose Pistola,532 Columbus Avenue,San Francisco,+1-415-399-0499,Italian,111.0,Caffe Greco,423 Columbus Ave.,San Francisco,+1-415-397-6261,continental,723
121,0,Patina,5955 Melrose Ave.,Los Angeles,+1-213-467-1108,californian,16.0,Le Chardonnay,8284 Melrose Ave.,Los Angeles,+1-213-655-8880,French Bistro,12
122,0,Bertolini's,3570 Las Vegas Boulevard South,Las Vegas,+1-702-735-4663,italian,427.0,Michael's (Las Vegas),3595 Las Vegas Blvd S,Las Vegas,+1-702-737-7111,Continental,664
123,0, Tang Pavilion ,65 W. 55th St.,New York,+1-212-956-6888,Asian,356.0,La Cote Basque,60 W. 55th St.,New York City,+1-212-688-6525,French (Classic),40
124,0,Coyote Cafe,3799 Las Vegas Boulevard South,Las Vegas,+1-702-891-7349,Southwestern,68.0,Chin's,3200 Las Vegas Boulevard South,Las Vegas,+17027338899,chinese,67
125,0,Dante's Down The Hatch Buckhead,3380 Peachtree Rd.,Atlanta,+1-404-266-1600,Continental,393.0,Brookhaven Cafe,4274 Peachtree Rd.,Atlanta,+1-404-231-5907,Vegetarian,682
126,0,Water Club,500 E. 30th St.,New York,+1-212-683-3333,american,374.0,Lutece,249 E. Boulevard,New York City,+1-212-752-2225,French (Classic),44
127,0,Cafe Roma,3570 Las Vegas Boulevard South,Las Vegas,+1-702-731-7547,Coffee Shop,433.0,Madame Ching's,3300 Las Vegas Boulevard South,Las Vegas,+1-702-894-7111,Asian,662
128,0,Bone's,3130 Piedmont Road,Atlanta,+1-404-237-2663,american,76.0,Soto,3330 Piedmont Rd.,Atlanta,+1-404-233-2005,Japanese,714
129,0,Absinthe,227 E. 67th St.,New York,+1-212-794-4950,French,277.0,Cafe Des Artistes,1 W. 67th St.,New York,+12128873500,French (Classic),27
130,0,Luna Si,1931 Peachtree Rd.,Atlanta,+1-404-355-5993,continental,405.0,White House Restaurant,3172 Peachtree Rd. NE,Atlanta,+1-404-237-7601,Diner,719
131,0,Bruno,240 E. 58th St.,New York,+1-212-688-4190,italian,195.0,March,405 E. 58th St.,New York City,+1-212-754-6272,American (new),46
132,0,Carnival World,3700 W. Flamingo Rd.,Las Vegas,+1-702-252-7777,Buffets,435.0,Tillerman The,2245 E. Flamingo Rd.,Las Vegas,+1-702-731-4036,Steakhouses,73
133,0,Cafe Bianco,1486 2nd Ave. Between 77th and 78th Sts.,New York,+1-212-988-2655,Coffee Bar,199.0,Cafe Blanc,9777 Little Santa Monica Blvd.,Beverly Hills,+1-310-888-0108,Pacific New Wave,546
134,0,Palace Court,3570 Las Vegas Boulevard South,Las Vegas,+1-702-731-7547,Continental,70.0,Moongate,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7352,Chinese,666
135,0,Dante's Down The Hatch Buckhead,3380 Peachtree Rd.,Atlanta,+1-404-266-1600,Continental,393.0,Ritz-Carlton Dining Room (Buckhead),3434 Peachtree Rd. NE,Atlanta,+1-404-237-2700,American (New),90
136,0,Bugsy's Diner,3555 Las Vegas Boulevard South,Las Vegas,+1-702-733-3111,Coffee Shop,431.0,em eril's New Orleans Fish House,3799 Las Vegas Blvd S,Las Vegas,+1-702-891-7374,seafood,659
137,0,Bolo,23 E. 22nd St.,New York,+1-212-228-2200,Mediterranean,191.0,La Grenouille,3 E. 52nd St.,New York City,+1-212-752-1495,French (Classic),623
138,0,Cafe Roma,3570 Las Vegas Boulevard South,Las Vegas,+1-702-731-7547,Coffee Shop,433.0,Palace Court,3570 Las Vegas Boulevard South,Las Vegas,+1-702-731-7110,French,70
139,0,Felidia,243 E. 58th St.,New York,+1-212-758-1479,Italian,33.0,March,405 E. 58th St.,New York City,+1-212-754-6272,American ( New ),46
140,0,TomTom,3393 Peachtree Rd.,Atlanta,+1-404-264-1163,Continental,422.0,Toulouse,293-B Peachtree Rd.,Atlanta,+1-404-351-9533,French (New),92
141,0,Hard Rock Cafe,221 W. Boulevard,New York,+1-212-489-6565,American,261.0,Edison Cafe,228 W. 47th St.,New York City,+1-212-840-5000,Diner,611
142,1,Dining Room Ritz-Carlton Buckhead,3434 Peachtree Rd.,Atlanta,+1-404-237-2700,International,90.0,Ritz-Carlton Dining Room,3434 Peachtree Rd. NE,Atlanta,+1-404-237-2700,American,90
143,1,Smith & Wollensky,201 E. 49th St.,New York,+1-212-753-1530,American,62.0,Smith & Wollensky,797 Third Avenue,New York,+1-212-753-1530,Steakhouses,62
144,0,Matthew's,1030 3rd Ave. at 61st St.,New York,+1-212-838-4343,American,305.0,Masa's,648 Bush St.,San Francisco,+14159897154,French (New),106
145,0,Border Grill,4th St.,Los Angeles,+1-310-451-1655,Mexican,116.0,Roosevelt Tamale Parlor,2817 24th St.,San Francisco,+1-415-550-9213,Mexican,742
146,0,Cafe Ritz-Carlton Buckhead,3434 Peachtree Rd.,Atlanta,+1-404-237-2700,Ext 6108 International,89.0,La Grotta,2637 Peachtree Rd. NE,Atlanta,+1-404-231-1368,Italian,85
147,0,Vivande Porta Via,Fillmore Street,San Francisco,+1-415-346-4430,Italian,524.0,Plumpjack Cafe,3127 Fillmore St.,San Francisco,+14155634755,American (New),108
148,1,Pisces,95 Ave A at 6th St,New York,+12122606660,Seafood,54.0,Pisces,95 ave a ,New York City,+1-212-260-6660,seafood,54
149,0,Le Chardonnay,8284 Melrose Ave.,Los Angeles,+1-213-655-8880,French,12.0,Citrus,6703 Melrose Avenue,Los Angeles,+1-213-857-0034,Californian,6
150,0,Bruno,240 E. 58th St.,New York,+1-212-688-4190,Italian,195.0,Lutece,249 E. 50th St.,New York,+1-212-752-2225,French (Classic),44
151,0,March,405 E. 58th St.,New York,+1-212-754-6272,american,46.0,Shun Lee Palace,155 E. 55th St.,New York City,+1-212-371-8844,Chinese,60
